Time(s),Veh_Speed,Est_Veh_Speed,W0_Speed,W1_Speed,W2_Speed,W3_Speed,P0,P1,P2,P3,S0,S1,S2,S3,ABS_Active
0.380,27.680,22.865,22.750,22.750,22.750,22.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.400,27.520,22.237,22.250,22.250,22.250,22.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.420,27.360,21.546,21.750,21.750,21.750,21.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.440,27.200,21.258,21.250,21.250,21.250,21.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.460,27.040,20.594,20.750,20.750,20.750,20.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.480,26.880,20.215,20.250,20.250,20.250,20.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.500,26.720,19.604,19.750,19.750,19.750,19.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.520,26.560,19.202,19.250,19.250,19.250,19.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.540,26.400,19.303,18.750,18.750,18.750,18.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.560,26.240,18.386,18.250,18.250,18.250,18.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.580,26.080,17.987,17.750,17.750,17.750,17.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.600,25.920,17.141,17.250,17.250,17.250,17.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.620,25.760,16.588,16.750,16.750,16.750,16.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.640,25.600,16.540,16.250,16.250,16.250,16.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.660,25.440,15.777,15.750,15.750,15.750,15.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.680,25.280,15.358,15.250,15.250,15.250,15.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.700,25.120,14.524,14.750,14.750,14.750,14.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.720,24.960,14.368,14.250,14.250,14.250,14.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.740,24.800,13.483,13.750,13.750,13.750,13.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.760,24.640,13.187,13.250,13.250,13.250,13.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.780,24.480,12.926,12.750,12.750,12.750,12.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.800,24.320,12.179,12.250,12.250,12.250,12.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.820,24.160,11.778,11.750,11.750,11.750,11.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.840,24.000,11.118,11.250,11.250,11.250,11.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.860,23.840,10.697,10.750,10.750,10.750,10.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.880,23.680,10.383,10.250,10.250,10.250,10.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.900,23.520,9.525,9.750,9.750,9.750,9.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.920,23.360,9.434,9.250,9.250,9.250,9.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.940,23.200,8.646,8.750,8.750,8.750,8.750,100.000,100.000,100.000,100.000,0,0,0,0,0
0.960,23.040,8.238,8.250,8.250,8.250,8.250,100.000,100.000,100.000,100.000,0,0,0,0,0
0.980,22.880,7.929,7.750,7.750,7.750,7.750,100.000,100.000,100.000,100.000,0,0,0,0,0
1.000,22.720,7.293,7.250,7.250,7.250,7.250,100.000,100.000,100.000,100.000,0,0,0,0,0
